Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,10
design__inferred_latch__count,0
design__instance__count,6680
design__instance__area,107931
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,0
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,21
design__max_cap_violation__count__corner:nom_tt_025C_3v30,0
power__internal__total,0.012697548605501652
power__switching__total,0.00855481531471014
power__leakage__total,3.6402417435965617E-7
power__total,0.021252727136015892
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.326824659919249
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.3267084195652833
timing__hold__ws__corner:nom_tt_025C_3v30,0.5864600082667208
timing__setup__ws__corner:nom_tt_025C_3v30,4.431710235335092
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.586460
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,4.431710
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,266
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,21
design__max_cap_violation__count__corner:nom_ss_125C_3v00,0
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.39723978009145794
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.3971234287151866
timing__hold__ws__corner:nom_ss_125C_3v00,1.4766197571520292
timing__setup__ws__corner:nom_ss_125C_3v00,-11.26256098038913
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-716.8173599806111
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-11.26256098038913
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,1.476620
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,153
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-11.262561
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,126
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,21
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,0
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.2950238747917083
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.2949067462592977
timing__hold__ws__corner:nom_ff_n40C_3v60,0.21066327056835316
timing__setup__ws__corner:nom_ff_n40C_3v60,10.147286853549033
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.210663
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,11.021936
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,318
design__max_fanout_violation__count,21
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2901629296743638
clock__skew__worst_setup,0.2900675060026985
timing__hold__ws,0.2086914033985482
timing__setup__ws,-11.6782746778438
timing__hold__tns,0.0
timing__setup__tns,-792.0897015820345
timing__hold__wns,0
timing__setup__wns,-11.6782746778438
timing__hold_vio__count,0
timing__hold_r2r__ws,0.208691
timing__hold_r2r_vio__count,0
timing__setup_vio__count,457
timing__setup_r2r__ws,-11.678275
timing__setup_r2r_vio__count,372
design__die__bbox,0.0 0.0 346.64 325.36
design__core__bbox,3.36 3.92 343.28 321.44
design__io,45
design__die__area,112783
design__core__area,107931
design__instance__count__stdcell,3846
design__instance__area__stdcell,85228.6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.789656
design__instance__utilization__stdcell,0.789656
design__rows,81
design__rows:GF018hv5v_mcu_sc7,81
design__sites,49167
design__sites:GF018hv5v_mcu_sc7,49167
design__instance__count__class:tie_cell,20
design__instance__area__class:tie_cell,175.616
design__instance__count__class:buffer,4
design__instance__area__class:buffer,70.2464
design__instance__count__class:inverter,192
design__instance__area__class:inverter,1742.99
design__instance__count__class:sequential_cell,330
design__instance__area__class:sequential_cell,21223.2
design__instance__count__class:multi_input_combinational_cell,2073
design__instance__area__class:multi_input_combinational_cell,48024.4
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,162
design__instance__area__class:endcap_cell,711.245
design__instance__count__class:tap_cell,705
design__instance__area__class:tap_cell,3095.23
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,4709.23
design__instance__displacement__mean,1.224
design__instance__displacement__max,29.68
route__wirelength__estimated,91320.2
design__violations,0
design__instance__count__class:timing_repair_buffer,314
design__instance__area__class:timing_repair_buffer,7924.67
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,35
design__instance__area__class:clock_buffer,2037.15
design__instance__count__class:clock_inverter,11
design__instance__area__class:clock_inverter,223.91
design__instance__count__setup_buffer,16
design__instance__count__hold_buffer,0
flow__warnings__count:RSZ-0062,1
flow__warnings__count:RSZ-2021,18
global_route__vias,21100
global_route__wirelength,159583
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,2979
route__net__special,2
route__drc_errors__iter:0,377
route__wirelength__iter:0,97194
route__drc_errors__iter:1,86
route__wirelength__iter:1,96128
route__drc_errors__iter:2,82
route__wirelength__iter:2,96019
route__drc_errors__iter:3,0
route__wirelength__iter:3,95994
route__drc_errors,0
route__wirelength,95994
route__vias,18190
route__vias__singlecut,18190
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,468.41
design__instance__count__class:fill_cell,2834
design__instance__area__class:fill_cell,22702.8
timing__unannotated_net__count__corner:nom_tt_025C_3v30,28
