Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,20
design__inferred_latch__count,0
design__instance__count,6052
design__instance__area,107931
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,65
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,20
design__max_cap_violation__count__corner:nom_tt_025C_3v30,1
power__internal__total,0.0027146954089403152
power__switching__total,0.0008149202913045883
power__leakage__total,3.596725832721859E-7
power__total,0.003529975423589349
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.964274021257885
clock__skew__worst_setup__corner:nom_tt_025C_3v30,1.0596388511012136
timing__hold__ws__corner:nom_tt_025C_3v30,0.5844294102972523
timing__setup__ws__corner:nom_tt_025C_3v30,15.103165368057262
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.584429
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,15.103166
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,996
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,20
design__max_cap_violation__count__corner:nom_ss_125C_3v00,1
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-1.652314776214004
clock__skew__worst_setup__corner:nom_ss_125C_3v00,1.8328972192132094
timing__hold__ws__corner:nom_ss_125C_3v00,1.471573571317787
timing__setup__ws__corner:nom_ss_125C_3v00,4.464929885528232
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,0.0
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,0.0
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,1.471574
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,4.464930
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,0
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,20
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,1
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.6728433556314233
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.7305292133547843
timing__hold__ws__corner:nom_ff_n40C_3v60,0.21756241868310003
timing__setup__ws__corner:nom_ff_n40C_3v60,19.154733452652707
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.217562
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,19.154734
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,1171
design__max_fanout_violation__count,20
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.6720921787117171
clock__skew__worst_setup,0.7271283780895703
timing__hold__ws,0.21733393477817023
timing__setup__ws,3.0865622042990277
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.217334
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,3.086562
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 346.64 325.36
design__core__bbox,3.36 3.92 343.28 321.44
design__io,45
design__die__area,112783
design__core__area,107931
design__instance__count__stdcell,4031
design__instance__area__stdcell,94694.3
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.877357
design__instance__utilization__stdcell,0.877357
design__rows,81
design__rows:GF018hv5v_mcu_sc7,81
design__sites,49167
design__sites:GF018hv5v_mcu_sc7,49167
design__instance__count__class:tie_cell,12
design__instance__area__class:tie_cell,105.37
design__instance__count__class:buffer,3
design__instance__area__class:buffer,52.6848
design__instance__count__class:inverter,159
design__instance__area__class:inverter,1422.49
design__instance__count__class:sequential_cell,456
design__instance__area__class:sequential_cell,34293.4
design__instance__count__class:multi_input_combinational_cell,1941
design__instance__area__class:multi_input_combinational_cell,38795.8
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,162
design__instance__area__class:endcap_cell,711.245
design__instance__count__class:tap_cell,705
design__instance__area__class:tap_cell,3095.23
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,139992
design__violations,0
design__instance__count__class:timing_repair_buffer,513
design__instance__area__class:timing_repair_buffer,12231.7
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,76
design__instance__area__class:clock_buffer,3903.07
design__instance__count__class:clock_inverter,4
design__instance__area__class:clock_inverter,83.4176
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,25184
global_route__wirelength,234872
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,3149
route__net__special,2
route__drc_errors__iter:0,1058
route__wirelength__iter:0,158429
route__drc_errors__iter:1,460
route__wirelength__iter:1,156920
route__drc_errors__iter:2,324
route__wirelength__iter:2,156534
route__drc_errors__iter:3,2
route__wirelength__iter:3,156306
route__drc_errors__iter:4,0
route__wirelength__iter:4,156306
route__drc_errors,0
route__wirelength,156306
route__vias,22869
route__vias__singlecut,22869
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,7
design__critical_disconnected_pin__count,0
route__wirelength__max,637.07
design__instance__count__class:fill_cell,2021
design__instance__area__class:fill_cell,13237.1
timing__unannotated_net__count__corner:nom_tt_025C_3v30,41
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:nom_ss_125C_3v00,41
