Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,7
design__inferred_latch__count,0
design__instance__count,3153
design__instance__area,51967
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,22
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,11
design__max_cap_violation__count__corner:nom_tt_025C_3v30,0
power__internal__total,0.0035522845573723316
power__switching__total,0.0010865742806345224
power__leakage__total,1.5658520169381518E-7
power__total,0.004639015533030033
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.2875817165802599
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.28442601856581606
timing__hold__ws__corner:nom_tt_025C_3v30,0.9833780734721194
timing__setup__ws__corner:nom_tt_025C_3v30,7.140663373819097
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.983378
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,8.143636
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,107
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,11
design__max_cap_violation__count__corner:nom_ss_125C_3v00,0
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.318483443077032
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.3130271408458945
timing__hold__ws__corner:nom_ss_125C_3v00,2.2431630521319668
timing__setup__ws__corner:nom_ss_125C_3v00,-3.2231853653949467
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-98.66066642915295
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-3.2231853653949467
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,2.243163
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,114
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-3.223185
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,21
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,11
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,0
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.27327138547732766
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.27146627381053756
timing__hold__ws__corner:nom_ff_n40C_3v60,0.44586147147409533
timing__setup__ws__corner:nom_ff_n40C_3v60,10.813926948877226
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.445861
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,17.263443
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,124
design__max_fanout_violation__count,11
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2703254641093197
clock__skew__worst_setup,0.26877337227699755
timing__hold__ws,0.4431489745036165
timing__setup__ws,-3.9668358609596615
timing__hold__tns,0.0
timing__setup__tns,-135.60340434357008
timing__hold__wns,0
timing__setup__wns,-3.9668358609596615
timing__hold_vio__count,0
timing__hold_r2r__ws,0.443149
timing__hold_r2r_vio__count,0
timing__setup_vio__count,334
timing__setup_r2r__ws,-3.966836
timing__setup_r2r_vio__count,58
design__die__bbox,0.0 0.0 346.64 160.72
design__core__bbox,3.36 3.92 343.28 156.8
design__io,45
design__die__area,55712
design__core__area,51967
design__instance__count__stdcell,1500
design__instance__area__stdcell,33500.9
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.644658
design__instance__utilization__stdcell,0.644658
design__rows,39
design__rows:GF018hv5v_mcu_sc7,39
design__sites,23673
design__sites:GF018hv5v_mcu_sc7,23673
design__instance__count__class:tie_cell,23
design__instance__area__class:tie_cell,201.958
design__instance__count__class:buffer,1
design__instance__area__class:buffer,17.5616
design__instance__count__class:inverter,180
design__instance__area__class:inverter,1637.62
design__instance__count__class:sequential_cell,210
design__instance__area__class:sequential_cell,13443.4
design__instance__count__class:multi_input_combinational_cell,546
design__instance__area__class:multi_input_combinational_cell,13186.6
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,78
design__instance__area__class:endcap_cell,342.451
design__instance__count__class:tap_cell,348
design__instance__area__class:tap_cell,1527.86
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,107.475
design__instance__displacement__mean,0.0715
design__instance__displacement__max,12.88
route__wirelength__estimated,35707.5
design__violations,0
design__instance__count__class:timing_repair_buffer,92
design__instance__area__class:timing_repair_buffer,1966.9
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,22
design__instance__area__class:clock_buffer,1176.63
design__instance__count__setup_buffer,1
design__instance__count__hold_buffer,0
flow__warnings__count:RSZ-0062,1
global_route__vias,7712
global_route__wirelength,63420
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1085
route__net__special,2
route__drc_errors__iter:0,203
route__wirelength__iter:0,40030
route__drc_errors__iter:1,56
route__wirelength__iter:1,39719
route__drc_errors__iter:2,47
route__wirelength__iter:2,39695
route__drc_errors__iter:3,0
route__wirelength__iter:3,39634
route__drc_errors,0
route__wirelength,39634
route__vias,6687
route__vias__singlecut,6687
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,15
design__critical_disconnected_pin__count,0
route__wirelength__max,463.62
design__instance__count__class:fill_cell,1653
design__instance__area__class:fill_cell,18466
timing__unannotated_net__count__corner:nom_tt_025C_3v30,23
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:nom_ss_125C_3v00,23
timing__unannotated_net_filtered__count__corner:nom_ss_125C_3v00,0
