Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,1
design__inferred_latch__count,0
design__instance__count,3700
design__instance__area,51880.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,0
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,0
design__max_cap_violation__count__corner:nom_tt_025C_3v30,1
power__internal__total,0.0010383148910477757
power__switching__total,0.0004439573676791042
power__leakage__total,1.7151938891402096E-7
power__total,0.0014824437675997615
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.27685152176608957
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.27900757494088896
timing__hold__ws__corner:nom_tt_025C_3v30,0.6041192161958451
timing__setup__ws__corner:nom_tt_025C_3v30,16.327856862050012
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.604119
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,18.473019
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,123
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,0
design__max_cap_violation__count__corner:nom_ss_125C_3v00,1
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.3024811320367186
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.30463829543457405
timing__hold__ws__corner:nom_ss_125C_3v00,1.511436796278177
timing__setup__ws__corner:nom_ss_125C_3v00,-2.3215883206310863
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-12.664042617466318
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-2.3215883206310863
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,1.511437
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,12
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-2.321588
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,12
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,0
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,1
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.2651776373542985
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.267347068716923
timing__hold__ws__corner:nom_ff_n40C_3v60,0.23006841527538138
timing__setup__ws__corner:nom_ff_n40C_3v60,21.106846645666426
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.230068
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,27.329386
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,204
design__max_fanout_violation__count,0
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.2636744508475942
clock__skew__worst_setup,0.26556776973618546
timing__hold__ws,0.22881497344512983
timing__setup__ws,-2.950937355775086
timing__hold__tns,0.0
timing__setup__tns,-23.975300645628014
timing__hold__wns,0
timing__setup__wns,-2.950937355775086
timing__hold_vio__count,0
timing__hold_r2r__ws,0.228815
timing__hold_r2r_vio__count,0
timing__setup_vio__count,35
timing__setup_r2r__ws,-2.950937
timing__setup_r2r_vio__count,35
design__die__bbox,0.0 0.0 346.64 160.72
design__core__bbox,3.36 3.92 343.28 156.8
design__io,45
design__die__area,55712
design__core__area,51967
design__instance__count__stdcell,1973
design__instance__area__stdcell,36743.3
design__instance__count__macros,1
design__instance__area__macros,168
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.710283
design__instance__utilization__stdcell,0.709343
design__rows,39
design__rows:GF018hv5v_mcu_sc7,39
design__sites,23557
design__sites:GF018hv5v_mcu_sc7,23557
design__instance__count__class:macro,1
design__instance__area__class:macro,168
design__instance__count__class:tie_cell,16
design__instance__area__class:tie_cell,140.493
design__instance__count__class:buffer,2
design__instance__area__class:buffer,35.1232
design__instance__count__class:inverter,68
design__instance__area__class:inverter,623.437
design__instance__count__class:sequential_cell,76
design__instance__area__class:sequential_cell,5193.84
design__instance__count__class:multi_input_combinational_cell,1193
design__instance__area__class:multi_input_combinational_cell,23940.9
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__count:ORD-2011,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,78
design__instance__area__class:endcap_cell,342.451
design__instance__count__class:tap_cell,354
design__instance__area__class:tap_cell,1554.2
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,346.64
design__instance__displacement__mean,0.1755
design__instance__displacement__max,15.68
route__wirelength__estimated,59623.8
design__violations,0
design__instance__count__class:timing_repair_buffer,170
design__instance__area__class:timing_repair_buffer,3819.65
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,14
design__instance__area__class:clock_buffer,1075.65
design__instance__count__class:clock_inverter,2
design__instance__area__class:clock_inverter,17.5616
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,12379
global_route__wirelength,107755
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
flow__warnings__count:EST-0026,1001
antenna_diodes_count,0
route__net,1553
route__net__special,2
route__drc_errors__iter:0,475
route__wirelength__iter:0,69366
route__drc_errors__iter:1,134
route__wirelength__iter:1,68641
route__drc_errors__iter:2,147
route__wirelength__iter:2,68515
route__drc_errors__iter:3,25
route__wirelength__iter:3,68467
route__drc_errors__iter:4,0
route__wirelength__iter:4,68448
route__drc_errors,0
route__wirelength,68448
route__vias,11253
route__vias__singlecut,11253
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,16
design__critical_disconnected_pin__count,0
route__wirelength__max,341.8
design__instance__count__class:fill_cell,1726
design__instance__area__class:fill_cell,14969.1
