Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,32
design__inferred_latch__count,0
design__instance__count,6060
design__instance__area,107931
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,13
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,30
design__max_cap_violation__count__corner:nom_tt_025C_3v30,0
power__internal__total,0.017471952363848686
power__switching__total,0.010483122430741787
power__leakage__total,3.633192875440727E-7
power__total,0.027955437079072
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.2997262245454997
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.2991772192442956
timing__hold__ws__corner:nom_tt_025C_3v30,0.6914986556864127
timing__setup__ws__corner:nom_tt_025C_3v30,2.7583323073021924
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.691499
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,2.758332
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,273
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,30
design__max_cap_violation__count__corner:nom_ss_125C_3v00,0
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.34122147739824554
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.3406705847178462
timing__hold__ws__corner:nom_ss_125C_3v00,1.6684920584079468
timing__setup__ws__corner:nom_ss_125C_3v00,-13.915322621383185
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-364.34446890759267
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-13.915322621383185
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,1.668492
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,199
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-13.915322
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,172
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,30
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,0
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.28075850772254507
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.28020661584139533
timing__hold__ws__corner:nom_ff_n40C_3v60,0.2824646152483142
timing__setup__ws__corner:nom_ff_n40C_3v60,8.416629409431279
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.282465
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,9.877131
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,342
design__max_fanout_violation__count,30
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2777408104339651
clock__skew__worst_setup,0.2772485375309239
timing__hold__ws,0.27935909931600267
timing__setup__ws,-16.241318083457465
timing__hold__tns,0.0
timing__setup__tns,-496.7732392722754
timing__hold__wns,0
timing__setup__wns,-16.241318083457465
timing__hold_vio__count,0
timing__hold_r2r__ws,0.279359
timing__hold_r2r_vio__count,0
timing__setup_vio__count,606
timing__setup_r2r__ws,-16.241318
timing__setup_r2r_vio__count,503
design__die__bbox,0.0 0.0 346.64 325.36
design__core__bbox,3.36 3.92 343.28 321.44
design__io,45
design__die__area,112783
design__core__area,107931
design__instance__count__stdcell,3839
design__instance__area__stdcell,92097.4
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.853296
design__instance__utilization__stdcell,0.853296
design__rows,81
design__rows:GF018hv5v_mcu_sc7,81
design__sites,49167
design__sites:GF018hv5v_mcu_sc7,49167
design__instance__count__class:tie_cell,12
design__instance__area__class:tie_cell,105.37
design__instance__count__class:buffer,1
design__instance__area__class:buffer,17.5616
design__instance__count__class:inverter,247
design__instance__area__class:inverter,2278.62
design__instance__count__class:sequential_cell,509
design__instance__area__class:sequential_cell,38108.7
design__instance__count__class:multi_input_combinational_cell,1700
design__instance__area__class:multi_input_combinational_cell,33999.3
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,162
design__instance__area__class:endcap_cell,711.245
design__instance__count__class:tap_cell,705
design__instance__area__class:tap_cell,3095.23
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,14367.6
design__instance__displacement__mean,3.7425
design__instance__displacement__max,209.44
route__wirelength__estimated,107058
design__violations,0
design__instance__count__class:timing_repair_buffer,441
design__instance__area__class:timing_repair_buffer,10743.3
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,56
design__instance__area__class:clock_buffer,2945.96
design__instance__count__class:clock_inverter,6
design__instance__area__class:clock_inverter,92.1984
design__instance__count__setup_buffer,24
design__instance__count__hold_buffer,0
flow__warnings__count:RSZ-0062,1
global_route__vias,22223
global_route__wirelength,186429
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,2964
route__net__special,2
route__drc_errors__iter:0,634
route__wirelength__iter:0,118740
route__drc_errors__iter:1,149
route__wirelength__iter:1,117410
route__drc_errors__iter:2,134
route__wirelength__iter:2,117262
route__drc_errors__iter:3,0
route__wirelength__iter:3,117134
route__drc_errors,0
route__wirelength,117134
route__vias,19234
route__vias__singlecut,19234
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,15
design__critical_disconnected_pin__count,0
route__wirelength__max,594.61
design__instance__count__class:fill_cell,2221
design__instance__area__class:fill_cell,15834
timing__unannotated_net__count__corner:nom_tt_025C_3v30,42
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
