Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,1749
design__instance__area,51967
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,0
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,0
design__max_cap_violation__count__corner:nom_tt_025C_3v30,0
power__internal__total,0.0008764259982854128
power__switching__total,0.00035901853698305786
power__leakage__total,6.260886209474847E-8
power__total,0.001235507195815444
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.25487443432747514
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.2522423730174053
timing__hold__ws__corner:nom_tt_025C_3v30,1.3394422616842372
timing__setup__ws__corner:nom_tt_025C_3v30,7.253193806420842
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,1.339442
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,46
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,0
design__max_cap_violation__count__corner:nom_ss_125C_3v00,0
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.2606135103709821
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.2546713745305283
timing__hold__ws__corner:nom_ss_125C_3v00,2.943205540368321
timing__setup__ws__corner:nom_ss_125C_3v00,-1.4295480759334838
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-3.716289603460521
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-1.4295480759334838
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,2.943206
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,4
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-0.823512
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,2
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,0
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,0
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.2523591684828991
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.2511749490601906
timing__hold__ws__corner:nom_ff_n40C_3v60,0.6506455003381184
timing__setup__ws__corner:nom_ff_n40C_3v60,10.916425405944734
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.650645
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,59
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25190730769909714
clock__skew__worst_setup,0.2508865686213883
timing__hold__ws,0.6419805424527647
timing__setup__ws,-1.9070772167907026
timing__hold__tns,0.0
timing__setup__tns,-5.134085302212153
timing__hold__wns,0
timing__setup__wns,-1.9070772167907026
timing__hold_vio__count,0
timing__hold_r2r__ws,0.641981
timing__hold_r2r_vio__count,0
timing__setup_vio__count,12
timing__setup_r2r__ws,-0.823512
timing__setup_r2r_vio__count,5
design__die__bbox,0.0 0.0 346.64 160.72
design__core__bbox,3.36 3.92 343.28 156.8
design__io,45
design__die__area,55712
design__core__area,51967
design__instance__count__stdcell,745
design__instance__area__stdcell,9854.25
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.189625
design__instance__utilization__stdcell,0.189625
design__rows,39
design__rows:GF018hv5v_mcu_sc7,39
design__sites,23673
design__sites:GF018hv5v_mcu_sc7,23673
design__instance__count__class:tie_cell,16
design__instance__area__class:tie_cell,140.493
design__instance__count__class:inverter,17
design__instance__area__class:inverter,149.274
design__instance__count__class:sequential_cell,24
design__instance__area__class:sequential_cell,1584.93
design__instance__count__class:multi_input_combinational_cell,219
design__instance__area__class:multi_input_combinational_cell,4388.2
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,78
design__instance__area__class:endcap_cell,342.451
design__instance__count__class:tap_cell,348
design__instance__area__class:tap_cell,1527.86
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,10318
design__violations,0
design__instance__count__class:timing_repair_buffer,38
design__instance__area__class:timing_repair_buffer,1172.24
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,5
design__instance__area__class:clock_buffer,548.8
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,2238
global_route__wirelength,17556
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,338
route__net__special,2
route__drc_errors__iter:0,35
route__wirelength__iter:0,11100
route__drc_errors__iter:1,17
route__wirelength__iter:1,10932
route__drc_errors__iter:2,6
route__wirelength__iter:2,10902
route__drc_errors__iter:3,0
route__wirelength__iter:3,10899
route__drc_errors,0
route__wirelength,10899
route__vias,2033
route__vias__singlecut,2033
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,1
design__critical_disconnected_pin__count,0
route__wirelength__max,242.83
design__instance__count__class:fill_cell,1004
design__instance__area__class:fill_cell,42112.7
timing__unannotated_net__count__corner:nom_tt_025C_3v30,1
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:nom_ss_125C_3v00,1
timing__unannotated_net_filtered__count__corner:nom_ss_125C_3v00,0
timing__unannotated_net__count__corner:nom_ff_n40C_3v60,1
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_3v60,0
