Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,5
design__inferred_latch__count,0
design__instance__count,3054
design__instance__area,51967
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,84
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,0
design__max_cap_violation__count__corner:nom_tt_025C_3v30,1
power__internal__total,0.053776662796735764
power__switching__total,0.05886439234018326
power__leakage__total,1.7522270923109318E-7
power__total,0.11264123022556305
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.2798290289800414
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.2783784115350399
timing__hold__ws__corner:nom_tt_025C_3v30,1.2037503556877116
timing__setup__ws__corner:nom_tt_025C_3v30,6.920132218684188
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,1.203750
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,6.920132
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,439
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,0
design__max_cap_violation__count__corner:nom_ss_125C_3v00,1
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.3074058594686317
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.30277245456661944
timing__hold__ws__corner:nom_ss_125C_3v00,2.6575074004693358
timing__setup__ws__corner:nom_ss_125C_3v00,-25.03722100510936
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-431.9569322272107
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-25.03722100510936
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,2.657507
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,31
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-25.037222
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,31
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,0
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,1
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.26840067039709015
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.26760108775214136
timing__hold__ws__corner:nom_ff_n40C_3v60,0.5773132135750526
timing__setup__ws__corner:nom_ff_n40C_3v60,20.673303654110452
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.577313
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,20.673304
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,549
design__max_fanout_violation__count,0
design__max_cap_violation__count,2
clock__skew__worst_hold,-0.2663095652710682
clock__skew__worst_setup,0.26566691265508846
timing__hold__ws,0.5640530424608139
timing__setup__ws,-29.045414007173594
timing__hold__tns,0.0
timing__setup__tns,-500.17304425049343
timing__hold__wns,0
timing__setup__wns,-29.045414007173594
timing__hold_vio__count,0
timing__hold_r2r__ws,0.564053
timing__hold_r2r_vio__count,0
timing__setup_vio__count,93
timing__setup_r2r__ws,-29.045414
timing__setup_r2r_vio__count,93
design__die__bbox,0.0 0.0 346.64 160.72
design__core__bbox,3.36 3.92 343.28 156.8
design__io,45
design__die__area,55712
design__core__area,51967
design__instance__count__stdcell,1995
design__instance__area__stdcell,44764.5
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.861403
design__instance__utilization__stdcell,0.861403
design__rows,39
design__rows:GF018hv5v_mcu_sc7,39
design__sites,23673
design__sites:GF018hv5v_mcu_sc7,23673
design__instance__count__class:tie_cell,14
design__instance__area__class:tie_cell,122.931
design__instance__count__class:buffer,2
design__instance__area__class:buffer,35.1232
design__instance__count__class:inverter,74
design__instance__area__class:inverter,676.122
design__instance__count__class:sequential_cell,67
design__instance__area__class:sequential_cell,4541.87
design__instance__count__class:multi_input_combinational_cell,1171
design__instance__area__class:multi_input_combinational_cell,31042.3
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,78
design__instance__area__class:endcap_cell,342.451
design__instance__count__class:tap_cell,348
design__instance__area__class:tap_cell,1527.86
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,12874.9
design__instance__displacement__mean,6.4535
design__instance__displacement__max,212.24
route__wirelength__estimated,83928.2
design__violations,0
design__instance__count__class:timing_repair_buffer,225
design__instance__area__class:timing_repair_buffer,5365.07
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,16
design__instance__area__class:clock_buffer,1110.77
design__instance__count__setup_buffer,13
design__instance__count__hold_buffer,0
flow__warnings__count:RSZ-0062,1
flow__warnings__count:RSZ-2021,189
global_route__vias,13995
global_route__wirelength,148167
flow__warnings__count:GRT-0115,1
flow__warnings__count:GRT-0273,2
flow__warnings__count:GRT-0704,1
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1581
route__net__special,2
route__drc_errors__iter:0,897
route__wirelength__iter:0,95737
route__drc_errors__iter:1,239
route__wirelength__iter:1,94092
route__drc_errors__iter:2,244
route__wirelength__iter:2,93128
route__drc_errors__iter:3,22
route__wirelength__iter:3,93011
route__drc_errors__iter:4,0
route__wirelength__iter:4,92977
route__drc_errors,0
route__wirelength,92977
route__vias,11988
route__vias__singlecut,11988
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,8
design__critical_disconnected_pin__count,0
route__wirelength__max,566.75
design__instance__count__class:fill_cell,1059
design__instance__area__class:fill_cell,7202.45
