Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,2
design__inferred_latch__count,0
design__instance__count,2599
design__instance__area,51967
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,0
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,0
design__max_cap_violation__count__corner:nom_tt_025C_3v30,1
power__internal__total,0.0023965775035321712
power__switching__total,0.0015009194612503052
power__leakage__total,1.1686791623333193E-7
power__total,0.0038976138457655907
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.2721107582945597
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.250417776935982
timing__hold__ws__corner:nom_tt_025C_3v30,1.1580342568205721
timing__setup__ws__corner:nom_tt_025C_3v30,3.6155666151042074
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,1.158034
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,114
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,0
design__max_cap_violation__count__corner:nom_ss_125C_3v00,1
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.29268807650413853
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.25041766591367637
timing__hold__ws__corner:nom_ss_125C_3v00,2.566194662735885
timing__setup__ws__corner:nom_ss_125C_3v00,-4.326613856316486
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-28.111339829396464
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-4.326613856316486
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,2.566195
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,8
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,0
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,0
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,1
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.2629672942720595
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.2504200528932468
timing__hold__ws__corner:nom_ff_n40C_3v60,0.5537708226497494
timing__setup__ws__corner:nom_ff_n40C_3v60,6.990116239243743
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.553771
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,139
design__max_fanout_violation__count,0
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.2614344648097594
clock__skew__worst_setup,0.2503690381438225
timing__hold__ws,0.5502451428018855
timing__setup__ws,-4.728679803788059
timing__hold__tns,0.0
timing__setup__tns,-31.353303063471785
timing__hold__wns,0
timing__setup__wns,-4.728679803788059
timing__hold_vio__count,0
timing__hold_r2r__ws,0.550245
timing__hold_r2r_vio__count,0
timing__setup_vio__count,24
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 346.64 160.72
design__core__bbox,3.36 3.92 343.28 156.8
design__io,45
design__die__area,55712
design__core__area,51967
design__instance__count__stdcell,1279
design__instance__area__stdcell,23214.2
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.446711
design__instance__utilization__stdcell,0.446711
design__rows,39
design__rows:GF018hv5v_mcu_sc7,39
design__sites,23673
design__sites:GF018hv5v_mcu_sc7,23673
design__instance__count__class:tie_cell,16
design__instance__area__class:tie_cell,140.493
design__instance__count__class:inverter,63
design__instance__area__class:inverter,583.923
design__instance__count__class:sequential_cell,62
design__instance__area__class:sequential_cell,3990.87
design__instance__count__class:multi_input_combinational_cell,600
design__instance__area__class:multi_input_combinational_cell,12800.2
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,78
design__instance__area__class:endcap_cell,342.451
design__instance__count__class:tap_cell,348
design__instance__area__class:tap_cell,1527.86
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,1087.28
design__instance__displacement__mean,0.85
design__instance__displacement__max,15.68
route__wirelength__estimated,32163.5
design__violations,0
design__instance__count__class:timing_repair_buffer,101
design__instance__area__class:timing_repair_buffer,2805.47
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,11
design__instance__area__class:clock_buffer,1022.96
design__instance__count__setup_buffer,3
design__instance__count__hold_buffer,0
flow__warnings__count:RSZ-0062,1
global_route__vias,6599
global_route__wirelength,55641
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,870
route__net__special,2
route__drc_errors__iter:0,221
route__wirelength__iter:0,35561
route__drc_errors__iter:1,62
route__wirelength__iter:1,34934
route__drc_errors__iter:2,55
route__wirelength__iter:2,34906
route__drc_errors__iter:3,0
route__wirelength__iter:3,34843
route__drc_errors,0
route__wirelength,34843
route__vias,5807
route__vias__singlecut,5807
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,496.51
design__instance__count__class:fill_cell,1320
design__instance__area__class:fill_cell,28752.7
timing__unannotated_net__count__corner:nom_tt_025C_3v30,11
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:nom_ss_125C_3v00,11
timing__unannotated_net_filtered__count__corner:nom_ss_125C_3v00,0
timing__unannotated_net__count__corner:nom_ff_n40C_3v60,11
