Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,18
design__inferred_latch__count,0
design__instance__count,9092
design__instance__area,223686
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,0
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,47
design__max_cap_violation__count__corner:nom_tt_025C_3v30,0
power__internal__total,0.016239047050476074
power__switching__total,0.00493622524663806
power__leakage__total,5.43957924037386E-7
power__total,0.021175816655158997
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.8157894590760124
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.8096459287731957
timing__hold__ws__corner:nom_tt_025C_3v30,0.5288318821422731
timing__setup__ws__corner:nom_tt_025C_3v30,2.15837664961105
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.528832
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,2.158377
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,182
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,47
design__max_cap_violation__count__corner:nom_ss_125C_3v00,0
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-1.3430621439584047
clock__skew__worst_setup__corner:nom_ss_125C_3v00,1.3313914791934762
timing__hold__ws__corner:nom_ss_125C_3v00,0.1365672058538953
timing__setup__ws__corner:nom_ss_125C_3v00,-14.870554986072808
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-2929.0559642348303
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-14.870554986072808
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,1.359553
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,228
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-14.870555
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,228
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,47
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,0
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.5886123977054354
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.5848776073449693
timing__hold__ws__corner:nom_ff_n40C_3v60,0.17656743233939873
timing__setup__ws__corner:nom_ff_n40C_3v60,6.022155389261412
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.176567
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,9.473788
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,298
design__max_fanout_violation__count,47
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.575777442021654
clock__skew__worst_setup,0.5722396052313267
timing__hold__ws,0.012569945440308358
timing__setup__ws,-16.12702372846431
timing__hold__tns,0.0
timing__setup__tns,-3195.9524216129785
timing__hold__wns,0
timing__setup__wns,-16.12702372846431
timing__hold_vio__count,0
timing__hold_r2r__ws,0.172154
timing__hold_r2r_vio__count,0
timing__setup_vio__count,684
timing__setup_r2r__ws,-16.127024
timing__setup_r2r_vio__count,684
design__die__bbox,0.0 0.0 711.2 325.36
design__core__bbox,3.36 3.92 707.84 321.44
design__io,45
design__die__area,231396
design__core__area,223686
design__instance__count__stdcell,4931
design__instance__area__stdcell,129069
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.577008
design__instance__utilization__stdcell,0.577008
design__rows,81
design__rows:GF018hv5v_mcu_sc7,81
design__sites,101898
design__sites:GF018hv5v_mcu_sc7,101898
design__instance__count__class:tie_cell,15
design__instance__area__class:tie_cell,131.712
design__instance__count__class:buffer,3
design__instance__area__class:buffer,52.6848
design__instance__count__class:inverter,196
design__instance__area__class:inverter,1729.82
design__instance__count__class:sequential_cell,897
design__instance__area__class:sequential_cell,57191.5
design__instance__count__class:multi_input_combinational_cell,1485
design__instance__area__class:multi_input_combinational_cell,40903.2
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,162
design__instance__area__class:endcap_cell,711.245
design__instance__count__class:tap_cell,1454
design__instance__area__class:tap_cell,6383.64
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,7129.92
design__instance__displacement__mean,1.4465
design__instance__displacement__max,54.88
route__wirelength__estimated,170464
design__violations,0
design__instance__count__class:timing_repair_buffer,601
design__instance__area__class:timing_repair_buffer,15967.9
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,95
design__instance__area__class:clock_buffer,5676.79
design__instance__count__class:clock_inverter,20
design__instance__area__class:clock_inverter,307.328
flow__warnings__count:CTS-0179,18
flow__warnings__count:RSZ-0065,1
design__instance__count__setup_buffer,7
design__instance__count__hold_buffer,0
flow__warnings__count:RSZ-0062,1
global_route__vias,16
global_route__wirelength,262222
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
flow__warnings__count:EST-0026,1001
antenna_diodes_count,2
design__instance__count__class:antenna_cell,3
design__instance__area__class:antenna_cell,13.1712
flow__warnings__count:RSZ-2021,2
route__net,3292
route__net__special,2
route__drc_errors__iter:0,6
route__wirelength__iter:0,179363
route__drc_errors__iter:1,0
route__wirelength__iter:1,179365
route__drc_errors__iter:2,230
route__wirelength__iter:2,179504
route__drc_errors__iter:3,3
route__wirelength__iter:3,179348
route__drc_errors__iter:4,0
route__wirelength__iter:4,179351
route__drc_errors,0
route__wirelength,179365
route__vias,22125
route__vias__singlecut,22125
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,4
design__critical_disconnected_pin__count,0
