Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,2
design__inferred_latch__count,0
design__instance__count,6746
design__instance__area,107931
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,0
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,17
design__max_cap_violation__count__corner:nom_tt_025C_3v30,0
power__internal__total,0.00231531891040504
power__switching__total,0.0008047439623624086
power__leakage__total,3.0742648959858343E-7
power__total,0.0031203702092170715
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.303171357710649
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.29279465791751685
timing__hold__ws__corner:nom_tt_025C_3v30,0.6047069682817044
timing__setup__ws__corner:nom_tt_025C_3v30,14.423003644085137
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.604707
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,18.407595
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,467
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,17
design__max_cap_violation__count__corner:nom_ss_125C_3v00,0
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.35171019869773057
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.33414380541608996
timing__hold__ws__corner:nom_ss_125C_3v00,1.5064725449054694
timing__setup__ws__corner:nom_ss_125C_3v00,-3.627477088049237
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-66.77638186965781
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-3.627477088049237
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,1.506473
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,46
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-3.627477
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,5
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,17
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,0
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.2809846046479044
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.2759218764901275
timing__hold__ws__corner:nom_ff_n40C_3v60,0.21996949329086657
timing__setup__ws__corner:nom_ff_n40C_3v60,21.885272880059606
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.219969
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,27.801723
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,510
design__max_fanout_violation__count,17
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2784594023069769
clock__skew__worst_setup,0.27320432800474376
timing__hold__ws,0.2185112153067785
timing__setup__ws,-4.267679663788932
timing__hold__tns,0.0
timing__setup__tns,-104.2929256919937
timing__hold__wns,0
timing__setup__wns,-4.267679663788932
timing__hold_vio__count,0
timing__hold_r2r__ws,0.218511
timing__hold_r2r_vio__count,0
timing__setup_vio__count,133
timing__setup_r2r__ws,-4.267680
timing__setup_r2r_vio__count,15
design__die__bbox,0.0 0.0 346.64 325.36
design__core__bbox,3.36 3.92 343.28 321.44
design__io,45
design__die__area,112783
design__core__area,107931
design__instance__count__stdcell,3242
design__instance__area__stdcell,65634.3
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.608111
design__instance__utilization__stdcell,0.608111
design__rows,81
design__rows:GF018hv5v_mcu_sc7,81
design__sites,49167
design__sites:GF018hv5v_mcu_sc7,49167
design__instance__count__class:tie_cell,15
design__instance__area__class:tie_cell,131.712
design__instance__count__class:buffer,1
design__instance__area__class:buffer,17.5616
design__instance__count__class:inverter,113
design__instance__area__class:inverter,1031.74
design__instance__count__class:sequential_cell,264
design__instance__area__class:sequential_cell,16929.4
design__instance__count__class:multi_input_combinational_cell,1770
design__instance__area__class:multi_input_combinational_cell,37118.6
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,162
design__instance__area__class:endcap_cell,711.245
design__instance__count__class:tap_cell,705
design__instance__area__class:tap_cell,3095.23
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,908.186
design__instance__displacement__mean,0.28
design__instance__displacement__max,22.96
route__wirelength__estimated,71645.5
design__violations,0
design__instance__count__class:timing_repair_buffer,175
design__instance__area__class:timing_repair_buffer,4917.25
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,25
design__instance__area__class:clock_buffer,1440.05
design__instance__count__class:clock_inverter,12
design__instance__area__class:clock_inverter,241.472
design__instance__count__setup_buffer,11
design__instance__count__hold_buffer,0
flow__warnings__count:RSZ-0062,1
flow__warnings__count:RSZ-2021,21
global_route__vias,16553
global_route__wirelength,126848
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,2378
route__net__special,2
route__drc_errors__iter:0,358
route__wirelength__iter:0,77192
route__drc_errors__iter:1,54
route__wirelength__iter:1,76267
route__drc_errors__iter:2,61
route__wirelength__iter:2,76207
route__drc_errors__iter:3,0
route__wirelength__iter:3,76142
route__drc_errors,0
route__wirelength,76142
route__vias,14551
route__vias__singlecut,14551
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,8
design__critical_disconnected_pin__count,0
route__wirelength__max,610.9
design__instance__count__class:fill_cell,3504
design__instance__area__class:fill_cell,42297.1
timing__unannotated_net__count__corner:nom_tt_025C_3v30,24
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
