Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,4
design__inferred_latch__count,0
design__instance__count,3212
design__instance__area,51967
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,0
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,0
design__max_cap_violation__count__corner:nom_tt_025C_3v30,0
power__internal__total,0.03205786645412445
power__switching__total,0.016147175803780556
power__leakage__total,0.0
power__total,0.04820504039525986
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.361046841531979
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.2817430535286275
timing__hold__ws__corner:nom_tt_025C_3v30,0.3010939915949453
timing__setup__ws__corner:nom_tt_025C_3v30,6.528239467119579
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.301094
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,13.203987
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,0
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,0
design__max_cap_violation__count__corner:nom_ss_125C_3v00,0
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.39856860606721356
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.29060898954269804
timing__hold__ws__corner:nom_ss_125C_3v00,0.47722371849450645
timing__setup__ws__corner:nom_ss_125C_3v00,3.2904222500246747
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,0.0
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,0.0
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,0.477224
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,10.885353
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,0
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,0
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,0
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.33800957434159057
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.27607450440475445
timing__hold__ws__corner:nom_ff_n40C_3v60,0.18676544173166376
timing__setup__ws__corner:nom_ff_n40C_3v60,8.537630399861266
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.186765
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,14.609543
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.33682260711681844
clock__skew__worst_setup,0.27474934216508373
timing__hold__ws,0.18624702307565316
timing__setup__ws,3.0931000858313444
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.186247
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,10.786002
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 346.64 160.72
design__core__bbox,3.36 3.92 343.28 156.8
design__io,45
design__die__area,55712
design__core__area,51967
design__instance__count__stdcell,2005
design__instance__area__stdcell,44646
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.859122
design__instance__utilization__stdcell,0.859122
design__rows,39
design__rows:unithd,39
design__sites,23673
design__sites:unithd,23673
design__instance__count__class:tie_cell,152
design__instance__area__class:tie_cell,1334.68
design__instance__count__class:buffer,1
design__instance__area__class:buffer,13.1712
design__instance__count__class:inverter,37
design__instance__area__class:inverter,324.89
design__instance__count__class:sequential_cell,149
design__instance__area__class:sequential_cell,11926.5
design__instance__count__class:multi_input_combinational_cell,1134
design__instance__area__class:multi_input_combinational_cell,26065.8
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,78
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:tap_cell,426
design__instance__area__class:tap_cell,1870.31
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,1813.64
design__instance__displacement__mean,0.9045
design__instance__displacement__max,111.44
route__wirelength__estimated,55242.8
design__violations,0
design__instance__count__class:timing_repair_buffer,74
design__instance__area__class:timing_repair_buffer,1732.01
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,22
design__instance__area__class:clock_buffer,1172.24
design__instance__count__class:clock_inverter,10
design__instance__area__class:clock_inverter,206.349
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,21
global_route__vias,12725
global_route__wirelength,96448
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1583
route__net__special,2
route__drc_errors__iter:0,406
route__wirelength__iter:0,63483
route__drc_errors__iter:1,107
route__wirelength__iter:1,62735
route__drc_errors__iter:2,89
route__wirelength__iter:2,62645
route__drc_errors__iter:3,1
route__wirelength__iter:3,62649
route__drc_errors__iter:4,1
route__wirelength__iter:4,62649
route__drc_errors__iter:5,0
route__wirelength__iter:5,62651
route__drc_errors,0
route__wirelength,62651
route__vias,11088
route__vias__singlecut,11088
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,5
design__critical_disconnected_pin__count,0
route__wirelength__max,638.035
design__instance__count__class:fill_cell,1207
design__instance__area__class:fill_cell,7320.99
timing__unannotated_net__count__corner:nom_tt_025C_3v30,20
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:nom_ss_125C_3v00,20
timing__unannotated_net_filtered__count__corner:nom_ss_125C_3v00,0
