Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,37442
design__instance__area,779458
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,153
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,66
design__max_cap_violation__count__corner:nom_tt_025C_3v30,21
power__internal__total,0.026297157630324364
power__switching__total,0.029450904577970505
power__leakage__total,0.0000016765596910772729
power__total,0.05574973672628403
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.5339870918806169
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.5334464132523329
timing__hold__ws__corner:nom_tt_025C_3v30,0.9734591186449861
timing__setup__ws__corner:nom_tt_025C_3v30,6.41051319061564
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.973459
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,6.410513
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,1880
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,66
design__max_cap_violation__count__corner:nom_ss_125C_3v00,21
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.7951630690073573
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.7946212801560174
timing__hold__ws__corner:nom_ss_125C_3v00,2.2277549324712376
timing__setup__ws__corner:nom_ss_125C_3v00,-14.003149258720718
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-4581.457817463564
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-14.003149258720718
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,2.227755
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,750
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-14.003149
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,532
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,38
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,66
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,23
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.4173213837065219
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.4166947738137017
timing__hold__ws__corner:nom_ff_n40C_3v60,0.4404535749682004
timing__setup__ws__corner:nom_ff_n40C_3v60,13.198259747564142
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.440454
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,15.248947
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,2482
design__max_fanout_violation__count,66
design__max_cap_violation__count,36
clock__skew__worst_hold,-0.3969089336207627
clock__skew__worst_setup,0.39646939631288264
timing__hold__ws,0.43732174674946117
timing__setup__ws,-16.258355122385993
timing__hold__tns,0.0
timing__setup__tns,-5578.094872778985
timing__hold__wns,0
timing__setup__wns,-16.258355122385993
timing__hold_vio__count,0
timing__hold_r2r__ws,0.437322
timing__hold_r2r_vio__count,0
timing__setup_vio__count,2241
timing__setup_r2r__ws,-16.258354
timing__setup_r2r_vio__count,1591
design__die__bbox,0.0 0.0 1075.76 736.96
design__core__bbox,3.36 3.92 1072.4 733.04
design__io,45
design__die__area,792792
design__core__area,779458
design__instance__count__stdcell,17206
design__instance__area__stdcell,326516
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.418901
design__instance__utilization__stdcell,0.418901
design__rows,186
design__rows:GF018hv5v_mcu_sc7,186
design__sites,355074
design__sites:GF018hv5v_mcu_sc7,355074
design__instance__count__class:tie_cell,10
design__instance__area__class:tie_cell,87.808
design__instance__count__class:buffer,3
design__instance__area__class:buffer,52.6848
design__instance__count__class:inverter,686
design__instance__area__class:inverter,6190.46
design__instance__count__class:sequential_cell,1067
design__instance__area__class:sequential_cell,68134.6
design__instance__count__class:multi_input_combinational_cell,7186
design__instance__area__class:multi_input_combinational_cell,165296
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,372
design__instance__area__class:endcap_cell,1633.23
design__instance__count__class:tap_cell,5080
design__instance__area__class:tap_cell,22303.2
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GRT-0281,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,8895.25
design__instance__displacement__mean,0.5175
design__instance__displacement__max,43.68
route__wirelength__estimated,767510
design__violations,0
design__instance__count__class:timing_repair_buffer,2640
design__instance__area__class:timing_repair_buffer,56961
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,97
design__instance__area__class:clock_buffer,5075.3
design__instance__count__class:clock_inverter,38
design__instance__area__class:clock_inverter,662.95
design__instance__count__setup_buffer,82
design__instance__count__hold_buffer,0
flow__warnings__count:RSZ-0062,1
flow__warnings__count:RSZ-2021,220
global_route__vias,212
global_route__wirelength,1195059
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,14
design__instance__count__class:antenna_cell,27
design__instance__area__class:antenna_cell,118.541
route__net,11686
route__net__special,2
route__drc_errors__iter:0,578
route__wirelength__iter:0,878124
route__drc_errors__iter:1,157
route__wirelength__iter:1,878016
route__drc_errors__iter:2,145
route__wirelength__iter:2,878018
route__drc_errors__iter:3,19
route__wirelength__iter:3,878086
route__drc_errors__iter:4,0
route__wirelength__iter:4,878078
route__drc_errors__iter:5,2
route__wirelength__iter:5,877891
route__drc_errors__iter:6,2
route__wirelength__iter:6,877891
route__drc_errors__iter:7,0
route__wirelength__iter:7,877905
route__drc_errors,0
route__wirelength,878078
route__vias,88426
route__vias__singlecut,88426
route__vias__multicut,0
