Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,3
design__inferred_latch__count,0
design__instance__count,2291
design__instance__area,51967
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,0
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,1
design__max_cap_violation__count__corner:nom_tt_025C_3v30,1
power__internal__total,0.001966047566384077
power__switching__total,0.0006009456119500101
power__leakage__total,9.208523721326856E-8
power__total,0.002567085437476635
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.271860180950815
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.271860180950815
timing__hold__ws__corner:nom_tt_025C_3v30,1.0786665199691936
timing__setup__ws__corner:nom_tt_025C_3v30,6.5215381607534155
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,1.078667
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,8.591243
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,37
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,1
design__max_cap_violation__count__corner:nom_ss_125C_3v00,1
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.2883899589650456
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.2883899589650456
timing__hold__ws__corner:nom_ss_125C_3v00,2.41356319539515
timing__setup__ws__corner:nom_ss_125C_3v00,-2.5225173774888288
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-63.87274179242626
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-2.5225173774888288
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,2.413563
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,36
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-2.522517
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,36
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,1
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,1
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.26458933015691116
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.26458933015691116
timing__hold__ws__corner:nom_ff_n40C_3v60,0.4970907159928408
timing__setup__ws__corner:nom_ff_n40C_3v60,8.669314400625543
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.497091
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,13.315437
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,45
design__max_fanout_violation__count,1
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.26296152111216814
clock__skew__worst_setup,0.26296152111216814
timing__hold__ws,0.4944716998036793
timing__setup__ws,-3.1228798209076984
timing__hold__tns,0.0
timing__setup__tns,-83.66607554690421
timing__hold__wns,0
timing__setup__wns,-3.1228798209076984
timing__hold_vio__count,0
timing__hold_r2r__ws,0.494472
timing__hold_r2r_vio__count,0
timing__setup_vio__count,105
timing__setup_r2r__ws,-3.122880
timing__setup_r2r_vio__count,105
design__die__bbox,0.0 0.0 346.64 160.72
design__core__bbox,3.36 3.92 343.28 156.8
design__io,45
design__die__area,55712
design__core__area,51967
design__instance__count__stdcell,987
design__instance__area__stdcell,16312.5
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.313902
design__instance__utilization__stdcell,0.313902
design__rows,39
design__rows:GF018hv5v_mcu_sc7,39
design__sites,23673
design__sites:GF018hv5v_mcu_sc7,23673
design__instance__count__class:tie_cell,23
design__instance__area__class:tie_cell,201.958
design__instance__count__class:buffer,9
design__instance__area__class:buffer,158.054
design__instance__count__class:inverter,25
design__instance__area__class:inverter,219.52
design__instance__count__class:sequential_cell,82
design__instance__area__class:sequential_cell,5237.75
design__instance__count__class:multi_input_combinational_cell,373
design__instance__area__class:multi_input_combinational_cell,6956.59
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,78
design__instance__area__class:endcap_cell,342.451
design__instance__count__class:tap_cell,348
design__instance__area__class:tap_cell,1527.86
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,14
design__instance__displacement__mean,0.014
design__instance__displacement__max,6.72
route__wirelength__estimated,14602.1
design__violations,0
design__instance__count__class:timing_repair_buffer,18
design__instance__area__class:timing_repair_buffer,399.526
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,31
design__instance__area__class:clock_buffer,1268.83
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,3838
global_route__wirelength,27098
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,566
route__net__special,2
route__drc_errors__iter:0,77
route__wirelength__iter:0,15815
route__drc_errors__iter:1,9
route__wirelength__iter:1,15771
route__drc_errors__iter:2,3
route__wirelength__iter:2,15724
route__drc_errors__iter:3,0
route__wirelength__iter:3,15730
route__drc_errors,0
route__wirelength,15730
route__vias,3359
route__vias__singlecut,3359
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,16
design__critical_disconnected_pin__count,0
route__wirelength__max,354.37
design__instance__count__class:fill_cell,1304
design__instance__area__class:fill_cell,35654.4
timing__unannotated_net__count__corner:nom_tt_025C_3v30,30
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:nom_ss_125C_3v00,30
timing__unannotated_net_filtered__count__corner:nom_ss_125C_3v00,0
timing__unannotated_net__count__corner:nom_ff_n40C_3v60,30
