Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,42
design__inferred_latch__count,0
design__instance__count,6735
design__instance__area,107931
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,0
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,31
design__max_cap_violation__count__corner:nom_tt_025C_3v30,0
power__internal__total,0.009962324053049088
power__switching__total,0.004307607188820839
power__leakage__total,3.5965649658464827E-7
power__total,0.014270290732383728
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.3074416086510357
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.3074416086510357
timing__hold__ws__corner:nom_tt_025C_3v30,0.578640707283141
timing__setup__ws__corner:nom_tt_025C_3v30,6.498846089666721
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.578641
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,8.508082
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,258
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,31
design__max_cap_violation__count__corner:nom_ss_125C_3v00,0
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.3589888210530266
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.3589888210530266
timing__hold__ws__corner:nom_ss_125C_3v00,1.4567087948206763
timing__setup__ws__corner:nom_ss_125C_3v00,-2.953299910438306
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-186.7559884043863
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-2.953299910438306
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,1.456709
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,163
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-2.953300
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,103
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,31
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,0
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.28438449622352074
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.28438449622352074
timing__hold__ws__corner:nom_ff_n40C_3v60,0.20758295669941343
timing__setup__ws__corner:nom_ff_n40C_3v60,10.422453417538572
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.207583
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,13.649254
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,342
design__max_fanout_violation__count,31
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.27992983723352843
clock__skew__worst_setup,0.27992983723352843
timing__hold__ws,0.2066438190163224
timing__setup__ws,-3.6047379435049676
timing__hold__tns,0.0
timing__setup__tns,-267.7355231076831
timing__hold__wns,0
timing__setup__wns,-3.6047379435049676
timing__hold_vio__count,0
timing__hold_r2r__ws,0.206644
timing__hold_r2r_vio__count,0
timing__setup_vio__count,496
timing__setup_r2r__ws,-3.604738
timing__setup_r2r_vio__count,314
design__die__bbox,0.0 0.0 346.64 325.36
design__core__bbox,3.36 3.92 343.28 321.44
design__io,45
design__die__area,112783
design__core__area,107931
design__instance__count__stdcell,3670
design__instance__area__stdcell,83134.4
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.770252
design__instance__utilization__stdcell,0.770252
design__rows,81
design__rows:GF018hv5v_mcu_sc7,81
design__sites,49167
design__sites:GF018hv5v_mcu_sc7,49167
design__instance__count__class:tie_cell,7
design__instance__area__class:tie_cell,61.4656
design__instance__count__class:buffer,5
design__instance__area__class:buffer,87.808
design__instance__count__class:inverter,187
design__instance__area__class:inverter,1663.96
design__instance__count__class:sequential_cell,518
design__instance__area__class:sequential_cell,33110.2
design__instance__count__class:multi_input_combinational_cell,1569
design__instance__area__class:multi_input_combinational_cell,31294.8
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,162
design__instance__area__class:endcap_cell,711.245
design__instance__count__class:tap_cell,705
design__instance__area__class:tap_cell,3095.23
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,754.606
design__instance__displacement__mean,0.2055
design__instance__displacement__max,17.92
route__wirelength__estimated,102064
design__violations,0
design__instance__count__class:timing_repair_buffer,456
design__instance__area__class:timing_repair_buffer,10207.7
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,51
design__instance__area__class:clock_buffer,2713.27
design__instance__count__class:clock_inverter,10
design__instance__area__class:clock_inverter,188.787
design__instance__count__setup_buffer,6
design__instance__count__hold_buffer,0
global_route__vias,20526
global_route__wirelength,174081
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,2798
route__net__special,2
route__drc_errors__iter:0,704
route__wirelength__iter:0,112724
route__drc_errors__iter:1,141
route__wirelength__iter:1,111915
route__drc_errors__iter:2,126
route__wirelength__iter:2,111585
route__drc_errors__iter:3,6
route__wirelength__iter:3,111449
route__drc_errors__iter:4,0
route__wirelength__iter:4,111442
route__drc_errors,0
route__wirelength,111442
route__vias,18083
route__vias__singlecut,18083
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,7
design__critical_disconnected_pin__count,0
route__wirelength__max,439.39
design__instance__count__class:fill_cell,3065
design__instance__area__class:fill_cell,24797
timing__unannotated_net__count__corner:nom_tt_025C_3v30,31
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
