Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,4
design__inferred_latch__count,0
design__instance__count,1659
design__instance__area,51967
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,0
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,0
design__max_cap_violation__count__corner:nom_tt_025C_3v30,0
power__internal__total,0.0016444181092083454
power__switching__total,0.00038004605448804796
power__leakage__total,6.248556161381202E-8
power__total,0.0020245264749974012
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.25832123282720854
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.26207367573426543
timing__hold__ws__corner:nom_tt_025C_3v30,1.0689024412583756
timing__setup__ws__corner:nom_tt_025C_3v30,7.992903454225892
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,1.068902
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,11.899029
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,11
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,0
design__max_cap_violation__count__corner:nom_ss_125C_3v00,0
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.2665731877357212
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.273150371164221
timing__hold__ws__corner:nom_ss_125C_3v00,2.4167319940416547
timing__setup__ws__corner:nom_ss_125C_3v00,-0.04648193073118513
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-0.13216450530292492
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-0.04648193073118513
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,2.416732
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,3
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,3.735840
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,0
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,0
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,0
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.2547775118546842
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.25729405445577475
timing__hold__ws__corner:nom_ff_n40C_3v60,0.5059824369373875
timing__setup__ws__corner:nom_ff_n40C_3v60,11.37861215234614
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.505982
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,15.289960
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,11
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25457228712277813
clock__skew__worst_setup,0.2567721385971377
timing__hold__ws,0.5021470603680456
timing__setup__ws,-0.22266100704558653
timing__hold__tns,0.0
timing__setup__tns,-0.6596838817483659
timing__hold__wns,0
timing__setup__wns,-0.22266100704558653
timing__hold_vio__count,0
timing__hold_r2r__ws,0.502147
timing__hold_r2r_vio__count,0
timing__setup_vio__count,6
timing__setup_r2r__ws,3.572915
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 346.64 160.72
design__core__bbox,3.36 3.92 343.28 156.8
design__io,45
design__die__area,55712
design__core__area,51967
design__instance__count__stdcell,696
design__instance__area__stdcell,10163.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.195581
design__instance__utilization__stdcell,0.195581
design__rows,39
design__rows:GF018hv5v_mcu_sc7,39
design__sites,23673
design__sites:GF018hv5v_mcu_sc7,23673
design__instance__count__class:tie_cell,18
design__instance__area__class:tie_cell,158.054
design__instance__count__class:buffer,6
design__instance__area__class:buffer,105.37
design__instance__count__class:inverter,19
design__instance__area__class:inverter,166.835
design__instance__count__class:sequential_cell,45
design__instance__area__class:sequential_cell,3363.05
design__instance__count__class:multi_input_combinational_cell,132
design__instance__area__class:multi_input_combinational_cell,2524.48
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,78
design__instance__area__class:endcap_cell,342.451
design__instance__count__class:tap_cell,348
design__instance__area__class:tap_cell,1527.86
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,7167.35
design__violations,0
design__instance__count__class:timing_repair_buffer,34
design__instance__area__class:timing_repair_buffer,864.909
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,16
design__instance__area__class:clock_buffer,1110.77
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,1841
global_route__wirelength,12524
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,282
route__net__special,2
route__drc_errors__iter:0,43
route__wirelength__iter:0,7243
route__drc_errors__iter:1,9
route__wirelength__iter:1,7181
route__drc_errors__iter:2,2
route__wirelength__iter:2,7147
route__drc_errors__iter:3,0
route__wirelength__iter:3,7143
route__drc_errors,0
route__wirelength,7143
route__vias,1567
route__vias__singlecut,1567
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,159.7
design__instance__count__class:fill_cell,963
design__instance__area__class:fill_cell,41803.2
timing__unannotated_net__count__corner:nom_tt_025C_3v30,16
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:nom_ss_125C_3v00,16
timing__unannotated_net_filtered__count__corner:nom_ss_125C_3v00,0
timing__unannotated_net__count__corner:nom_ff_n40C_3v60,16
