Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,3040
design__instance__area,51967
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,0
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,1
design__max_cap_violation__count__corner:nom_tt_025C_3v30,1
power__internal__total,0.0030683858785778284
power__switching__total,0.0013832147233188152
power__leakage__total,1.433716221299619E-7
power__total,0.004451744258403778
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.293548610394863
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.2994521104729672
timing__hold__ws__corner:nom_tt_025C_3v30,0.5841352011874058
timing__setup__ws__corner:nom_tt_025C_3v30,5.127811209677947
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.584135
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,5.127811
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,67
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,1
design__max_cap_violation__count__corner:nom_ss_125C_3v00,1
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.33756928763314764
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.347810207146528
timing__hold__ws__corner:nom_ss_125C_3v00,1.4616404056355365
timing__setup__ws__corner:nom_ss_125C_3v00,-9.746767224749892
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-110.45543459181928
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-9.746767224749892
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,1.461640
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,24
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-9.746767
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,24
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,1
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,1
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.27585304266065397
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.2779047348681871
timing__hold__ws__corner:nom_ff_n40C_3v60,0.21118452029315662
timing__setup__ws__corner:nom_ff_n40C_3v60,11.339953297356926
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.211185
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,11.339953
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,67
design__max_fanout_violation__count,1
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.27302574862618223
clock__skew__worst_setup,0.2750579009079293
timing__hold__ws,0.21086133436154791
timing__setup__ws,-10.213876256092489
timing__hold__tns,0.0
timing__setup__tns,-121.13450851924111
timing__hold__wns,0
timing__setup__wns,-10.213876256092489
timing__hold_vio__count,0
timing__hold_r2r__ws,0.210861
timing__hold_r2r_vio__count,0
timing__setup_vio__count,80
timing__setup_r2r__ws,-10.213877
timing__setup_r2r_vio__count,80
design__die__bbox,0.0 0.0 346.64 160.72
design__core__bbox,3.36 3.92 343.28 156.8
design__io,45
design__die__area,55712
design__core__area,51967
design__instance__count__stdcell,1463
design__instance__area__stdcell,29777.9
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.573016
design__instance__utilization__stdcell,0.573016
design__rows,39
design__rows:GF018hv5v_mcu_sc7,39
design__sites,23673
design__sites:GF018hv5v_mcu_sc7,23673
design__instance__count__class:tie_cell,20
design__instance__area__class:tie_cell,175.616
design__instance__count__class:buffer,4
design__instance__area__class:buffer,70.2464
design__instance__count__class:inverter,57
design__instance__area__class:inverter,513.677
design__instance__count__class:sequential_cell,122
design__instance__area__class:sequential_cell,7898.33
design__instance__count__class:multi_input_combinational_cell,736
design__instance__area__class:multi_input_combinational_cell,15939.3
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,78
design__instance__area__class:endcap_cell,342.451
design__instance__count__class:tap_cell,348
design__instance__area__class:tap_cell,1527.86
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,984.344
design__instance__displacement__mean,0.6725
design__instance__displacement__max,26.32
route__wirelength__estimated,28282.6
design__violations,0
design__instance__count__class:timing_repair_buffer,75
design__instance__area__class:timing_repair_buffer,2182.03
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,23
design__instance__area__class:clock_buffer,1128.33
design__instance__count__setup_buffer,9
design__instance__count__hold_buffer,0
flow__warnings__count:RSZ-0062,1
flow__warnings__count:RSZ-2021,21
global_route__vias,6867
global_route__wirelength,49316
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1050
route__net__special,2
route__drc_errors__iter:0,105
route__wirelength__iter:0,29076
route__drc_errors__iter:1,13
route__wirelength__iter:1,28803
route__drc_errors__iter:2,18
route__wirelength__iter:2,28757
route__drc_errors__iter:3,0
route__wirelength__iter:3,28751
route__drc_errors,0
route__wirelength,28751
route__vias,5899
route__vias__singlecut,5899
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,14
design__critical_disconnected_pin__count,0
route__wirelength__max,566.71
design__instance__count__class:fill_cell,1577
design__instance__area__class:fill_cell,22189.1
timing__unannotated_net__count__corner:nom_tt_025C_3v30,20
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:nom_ss_125C_3v00,20
