Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,302
design__inferred_latch__count,0
design__instance__count,2072
design__instance__area,51967
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,0
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,1
design__max_cap_violation__count__corner:nom_tt_025C_3v30,1
power__internal__total,0.004246579948812723
power__switching__total,0.0017611535731703043
power__leakage__total,9.063715822321683E-8
power__total,0.006007824558764696
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.2730764303086897
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.2743111093692945
timing__hold__ws__corner:nom_tt_025C_3v30,0.6726466241058957
timing__setup__ws__corner:nom_tt_025C_3v30,8.215794499488688
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.672647
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,9.118858
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,22
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,1
design__max_cap_violation__count__corner:nom_ss_125C_3v00,1
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.2937327963998575
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.2965103524414194
timing__hold__ws__corner:nom_ss_125C_3v00,1.6377386577114594
timing__setup__ws__corner:nom_ss_125C_3v00,-1.9463116114121604
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-7.882406062084339
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-1.9463116114121604
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,1.637739
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,5
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-1.946312
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,5
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,1
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,1
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.26390754217820656
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.26445310578793696
timing__hold__ws__corner:nom_ff_n40C_3v60,0.2726013936185933
timing__setup__ws__corner:nom_ff_n40C_3v60,11.511218082336141
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.272601
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,13.747238
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,22
design__max_fanout_violation__count,1
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.26237782134046334
clock__skew__worst_setup,0.26289435261727867
timing__hold__ws,0.26939096160748754
timing__setup__ws,-2.0828406255929286
timing__hold__tns,0.0
timing__setup__tns,-8.515460577700127
timing__hold__wns,0
timing__setup__wns,-2.0828406255929286
timing__hold_vio__count,0
timing__hold_r2r__ws,0.269391
timing__hold_r2r_vio__count,0
timing__setup_vio__count,15
timing__setup_r2r__ws,-2.082841
timing__setup_r2r_vio__count,15
design__die__bbox,0.0 0.0 346.64 160.72
design__core__bbox,3.36 3.92 343.28 156.8
design__io,45
design__die__area,55712
design__core__area,51967
design__instance__count__stdcell,890
design__instance__area__stdcell,17047.9
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.328053
design__instance__utilization__stdcell,0.328053
design__rows,39
design__rows:GF018hv5v_mcu_sc7,39
design__sites,23673
design__sites:GF018hv5v_mcu_sc7,23673
design__instance__count__class:tie_cell,14
design__instance__area__class:tie_cell,122.931
design__instance__count__class:buffer,8
design__instance__area__class:buffer,140.493
design__instance__count__class:inverter,15
design__instance__area__class:inverter,136.102
design__instance__count__class:sequential_cell,84
design__instance__area__class:sequential_cell,6309
design__instance__count__class:multi_input_combinational_cell,239
design__instance__area__class:multi_input_combinational_cell,5588.98
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,78
design__instance__area__class:endcap_cell,342.451
design__instance__count__class:tap_cell,348
design__instance__area__class:tap_cell,1527.86
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,74.8555
design__instance__displacement__mean,0.084
design__instance__displacement__max,8.4
route__wirelength__estimated,11650.7
design__violations,0
design__instance__count__class:timing_repair_buffer,75
design__instance__area__class:timing_repair_buffer,1646.4
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,29
design__instance__area__class:clock_buffer,1233.7
design__instance__count__setup_buffer,1
design__instance__count__hold_buffer,0
flow__warnings__count:RSZ-0062,1
global_route__vias,3128
global_route__wirelength,21369
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,471
route__net__special,2
route__drc_errors__iter:0,43
route__wirelength__iter:0,12025
route__drc_errors__iter:1,5
route__wirelength__iter:1,11929
route__drc_errors__iter:2,0
route__wirelength__iter:2,11898
route__drc_errors,0
route__wirelength,11898
route__vias,2602
route__vias__singlecut,2602
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,15
design__critical_disconnected_pin__count,0
route__wirelength__max,363.66
design__instance__count__class:fill_cell,1182
design__instance__area__class:fill_cell,34919
timing__unannotated_net__count__corner:nom_tt_025C_3v30,27
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:nom_ss_125C_3v00,27
timing__unannotated_net_filtered__count__corner:nom_ss_125C_3v00,0
timing__unannotated_net__count__corner:nom_ff_n40C_3v60,27
