Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,13614
design__instance__area,223686
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,111
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,44
design__max_cap_violation__count__corner:nom_tt_025C_3v30,3
power__internal__total,0.0009042728925123811
power__switching__total,0.000935347517952323
power__leakage__total,7.5995126280759E-7
power__total,0.0018403803696855903
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.36590106979983456
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.377290848131589
timing__hold__ws__corner:nom_tt_025C_3v30,0.6073002272959662
timing__setup__ws__corner:nom_tt_025C_3v30,789.089051102346
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.607300
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,955.723206
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,980
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,44
design__max_cap_violation__count__corner:nom_ss_125C_3v00,3
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.4734921477809028
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.4959299777877673
timing__hold__ws__corner:nom_ss_125C_3v00,1.5080750408645351
timing__setup__ws__corner:nom_ss_125C_3v00,778.1882452025319
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,0.0
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,0.0
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,1.508075
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,911.098755
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,0
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,44
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,3
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.31765599383337706
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.32413680990061394
timing__hold__ws__corner:nom_ff_n40C_3v60,0.22422120350621763
timing__setup__ws__corner:nom_ff_n40C_3v60,793.7324764335727
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.224221
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,974.665466
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,1256
design__max_fanout_violation__count,44
design__max_cap_violation__count,4
clock__skew__worst_hold,-0.3088891174714803
clock__skew__worst_setup,0.3140895132882042
timing__hold__ws,0.22248858940498595
timing__setup__ws,777.6078170361285
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.222489
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,907.643005
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 711.2 325.36
design__core__bbox,3.36 3.92 707.84 321.44
design__io,45
design__die__area,231396
design__core__area,223686
design__instance__count__stdcell,8488
design__instance__area__stdcell,186355
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.833108
design__instance__utilization__stdcell,0.833108
design__rows,81
design__rows:GF018hv5v_mcu_sc7,81
design__sites,101898
design__sites:GF018hv5v_mcu_sc7,101898
design__instance__count__class:tie_cell,15
design__instance__area__class:tie_cell,131.712
design__instance__count__class:buffer,2
design__instance__area__class:buffer,35.1232
design__instance__count__class:inverter,553
design__instance__area__class:inverter,4895.3
design__instance__count__class:sequential_cell,811
design__instance__area__class:sequential_cell,51804.5
design__instance__count__class:multi_input_combinational_cell,3893
design__instance__area__class:multi_input_combinational_cell,84196.9
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,162
design__instance__area__class:endcap_cell,711.245
design__instance__count__class:tap_cell,1454
design__instance__area__class:tap_cell,6383.64
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,310939
design__violations,0
design__instance__count__class:timing_repair_buffer,1499
design__instance__area__class:timing_repair_buffer,33652.4
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,75
design__instance__area__class:clock_buffer,4214.78
design__instance__count__class:clock_inverter,17
design__instance__area__class:clock_inverter,298.547
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,33
global_route__wirelength,518187
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,1
design__instance__count__class:antenna_cell,7
design__instance__area__class:antenna_cell,30.7328
route__net,6845
route__net__special,2
route__drc_errors__iter:0,83
route__wirelength__iter:0,351967
route__drc_errors__iter:1,10
route__wirelength__iter:1,351953
route__drc_errors__iter:2,5
route__wirelength__iter:2,351968
route__drc_errors__iter:3,0
route__wirelength__iter:3,351956
route__drc_errors__iter:4,45
route__wirelength__iter:4,352004
route__drc_errors__iter:5,14
route__wirelength__iter:5,351948
route__drc_errors__iter:6,14
route__wirelength__iter:6,351948
route__drc_errors__iter:7,0
route__wirelength__iter:7,351923
route__drc_errors,0
route__wirelength,351956
route__vias,49757
route__vias__singlecut,49757
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,4
design__critical_disconnected_pin__count,0
route__wirelength__max,1019.24
