Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,1
design__inferred_latch__count,0
design__instance__count,6859
design__instance__area,107931
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,11
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,20
design__max_cap_violation__count__corner:nom_tt_025C_3v30,0
power__internal__total,0.013599754311144352
power__switching__total,0.00999221857637167
power__leakage__total,3.478052121863584E-7
power__total,0.023592321202158928
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.3404439881921117
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.3268853891204136
timing__hold__ws__corner:nom_tt_025C_3v30,0.9114043111515577
timing__setup__ws__corner:nom_tt_025C_3v30,2.7008795964205965
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.911404
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,2.700880
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,345
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,20
design__max_cap_violation__count__corner:nom_ss_125C_3v00,0
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.42044521831925774
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.39490364873697137
timing__hold__ws__corner:nom_ss_125C_3v00,2.073124397495825
timing__setup__ws__corner:nom_ss_125C_3v00,-14.718118695945321
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-427.17333102110877
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-14.718118695945321
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,2.073124
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,131
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-14.718119
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,104
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,20
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,0
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.30440464899243375
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.2966439122750591
timing__hold__ws__corner:nom_ff_n40C_3v60,0.417828894421007
timing__setup__ws__corner:nom_ff_n40C_3v60,9.980667241836224
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.417829
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,9.980667
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,443
design__max_fanout_violation__count,20
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2968715080015441
clock__skew__worst_setup,0.29083494769017537
timing__hold__ws,0.40912041579185715
timing__setup__ws,-15.276974784280885
timing__hold__tns,0.0
timing__setup__tns,-498.8760479256648
timing__hold__wns,0
timing__setup__wns,-15.276974784280885
timing__hold_vio__count,0
timing__hold_r2r__ws,0.409120
timing__hold_r2r_vio__count,0
timing__setup_vio__count,406
timing__setup_r2r__ws,-15.276975
timing__setup_r2r_vio__count,317
design__die__bbox,0.0 0.0 346.64 325.36
design__core__bbox,3.36 3.92 343.28 321.44
design__io,45
design__die__area,112783
design__core__area,107931
design__instance__count__stdcell,3563
design__instance__area__stdcell,76821
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.711758
design__instance__utilization__stdcell,0.711758
design__rows,81
design__rows:GF018hv5v_mcu_sc7,81
design__sites,49167
design__sites:GF018hv5v_mcu_sc7,49167
design__instance__count__class:tie_cell,16
design__instance__area__class:tie_cell,140.493
design__instance__count__class:buffer,7
design__instance__area__class:buffer,122.931
design__instance__count__class:inverter,137
design__instance__area__class:inverter,1286.39
design__instance__count__class:sequential_cell,325
design__instance__area__class:sequential_cell,22147.4
design__instance__count__class:multi_input_combinational_cell,1842
design__instance__area__class:multi_input_combinational_cell,38793.6
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,162
design__instance__area__class:endcap_cell,711.245
design__instance__count__class:tap_cell,705
design__instance__area__class:tap_cell,3095.23
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,3441.65
design__instance__displacement__mean,0.9655
design__instance__displacement__max,39.76
route__wirelength__estimated,95009.3
design__violations,0
design__instance__count__class:timing_repair_buffer,323
design__instance__area__class:timing_repair_buffer,8232
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,34
design__instance__area__class:clock_buffer,2085.44
design__instance__count__class:clock_inverter,12
design__instance__area__class:clock_inverter,206.349
design__instance__count__setup_buffer,34
design__instance__count__hold_buffer,0
flow__warnings__count:RSZ-0062,1
flow__warnings__count:RSZ-2021,38
global_route__vias,19972
global_route__wirelength,164732
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,2695
route__net__special,2
route__drc_errors__iter:0,525
route__wirelength__iter:0,104168
route__drc_errors__iter:1,126
route__wirelength__iter:1,102801
route__drc_errors__iter:2,97
route__wirelength__iter:2,102440
route__drc_errors__iter:3,3
route__wirelength__iter:3,102373
route__drc_errors__iter:4,3
route__wirelength__iter:4,102373
route__drc_errors__iter:5,0
route__wirelength__iter:5,102376
route__drc_errors,0
route__wirelength,102376
route__vias,17380
route__vias__singlecut,17380
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,14
design__critical_disconnected_pin__count,0
route__wirelength__max,476.96
design__instance__count__class:fill_cell,3296
design__instance__area__class:fill_cell,31110.4
