Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,1
design__inferred_latch__count,0
design__instance__count,58050
design__instance__area,1.04527E+6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,1453
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,266
design__max_cap_violation__count__corner:nom_tt_025C_3v30,227
power__internal__total,0.053157590329647064
power__switching__total,0.020006481558084488
power__leakage__total,0.0000035201630907977233
power__total,0.0731675922870636
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.3803259759221485
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.3868880603170864
timing__hold__ws__corner:nom_tt_025C_3v30,0.6161258344575267
timing__setup__ws__corner:nom_tt_025C_3v30,4.56188699727851
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.616126
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,4.658648
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,7329
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,266
design__max_cap_violation__count__corner:nom_ss_125C_3v00,229
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.5016756041473048
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.5148006611156254
timing__hold__ws__corner:nom_ss_125C_3v00,1.5327375358310613
timing__setup__ws__corner:nom_ss_125C_3v00,-21.87226817127056
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-26023.791005394683
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-21.87226817127056
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,1.532737
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,4700
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-21.872269
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,2450
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,280
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,266
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,230
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.3271556174122499
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.33041900706312805
timing__hold__ws__corner:nom_ff_n40C_3v60,0.2330657954820361
timing__setup__ws__corner:nom_ff_n40C_3v60,13.451768080176757
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.233066
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,16.135601
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,9073
design__max_fanout_violation__count,266
design__max_cap_violation__count,337
clock__skew__worst_hold,-0.3169471164121055
clock__skew__worst_setup,0.3189335275039443
timing__hold__ws,0.23024005575984277
timing__setup__ws,-26.11721757229967
timing__hold__tns,0.0
timing__setup__tns,-37335.18784518917
timing__hold__wns,0
timing__setup__wns,-26.11721757229967
timing__hold_vio__count,0
timing__hold_r2r__ws,0.230240
timing__hold_r2r_vio__count,0
timing__setup_vio__count,14253
timing__setup_r2r__ws,-26.117218
timing__setup_r2r_vio__count,7327
design__die__bbox,0.0 0.0 1440.32 736.96
design__core__bbox,3.36 3.92 1436.96 733.04
design__io,45
design__die__area,1.06146E+6
design__core__area,1.04527E+6
design__instance__count__stdcell,37579
design__instance__area__stdcell,917607
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.877869
design__instance__utilization__stdcell,0.877869
design__rows,186
design__rows:GF018hv5v_mcu_sc7,186
design__sites,476160
design__sites:GF018hv5v_mcu_sc7,476160
design__instance__count__class:tie_cell,9
design__instance__area__class:tie_cell,79.0272
design__instance__count__class:buffer,7
design__instance__area__class:buffer,122.931
design__instance__count__class:inverter,2277
design__instance__area__class:inverter,20248.5
design__instance__count__class:sequential_cell,4835
design__instance__area__class:sequential_cell,362120
design__instance__count__class:multi_input_combinational_cell,14670
design__instance__area__class:multi_input_combinational_cell,307034
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,372
design__instance__area__class:endcap_cell,1633.23
design__instance__count__class:tap_cell,6866
design__instance__area__class:tap_cell,30144.5
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
flow__warnings__count:GRT-0281,2
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,15540.2
design__instance__displacement__mean,0.415
design__instance__displacement__max,54.88
route__wirelength__estimated,1.92408E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,7848
design__instance__area__class:timing_repair_buffer,170189
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,455
design__instance__area__class:clock_buffer,24033
design__instance__count__class:clock_inverter,92
design__instance__area__class:clock_inverter,1352.24
design__instance__count__setup_buffer,40
design__instance__count__hold_buffer,0
flow__warnings__count:RSZ-0062,1
flow__warnings__count:RSZ-2021,5
global_route__vias,54
global_route__wirelength,4148298
flow__warnings__count:GRT-0115,1
flow__warnings__count:GRT-0273,2
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,94
design__instance__count__class:antenna_cell,148
design__instance__area__class:antenna_cell,649.779
route__net,29967
route__net__special,2
route__drc_errors__iter:0,115
route__wirelength__iter:0,2336471
route__drc_errors__iter:1,8
route__wirelength__iter:1,2336403
route__drc_errors__iter:2,5
route__wirelength__iter:2,2336371
route__drc_errors__iter:3,0
route__wirelength__iter:3,2336382
route__drc_errors__iter:4,25
route__wirelength__iter:4,2336426
route__drc_errors__iter:5,0
route__wirelength__iter:5,2336431
route__drc_errors__iter:6,628
route__wirelength__iter:6,2335224
