Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,6
design__inferred_latch__count,0
design__instance__count,10303
design__instance__area,223686
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,40
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,38
design__max_cap_violation__count__corner:nom_tt_025C_3v30,1
power__internal__total,0.011510470882058144
power__switching__total,0.0034753037616610527
power__leakage__total,5.327679559741227E-7
power__total,0.014986307360231876
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.3004825084912635
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.30942813076518016
timing__hold__ws__corner:nom_tt_025C_3v30,0.7149943062210572
timing__setup__ws__corner:nom_tt_025C_3v30,6.858681816622459
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.714994
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,7.594204
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,800
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,38
design__max_cap_violation__count__corner:nom_ss_125C_3v00,1
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.3413771306707002
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.3559192763477303
timing__hold__ws__corner:nom_ss_125C_3v00,1.71001262434637
timing__setup__ws__corner:nom_ss_125C_3v00,-4.4749378802444575
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-480.3122941993399
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-4.4749378802444575
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,1.710013
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,408
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-4.474938
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,389
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,38
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,1
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.2816974233610249
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.2890358867390406
timing__hold__ws__corner:nom_ff_n40C_3v60,0.2971480923203762
timing__setup__ws__corner:nom_ff_n40C_3v60,9.076412767165465
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.297148
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,12.656616
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,936
design__max_fanout_violation__count,38
design__max_cap_violation__count,2
clock__skew__worst_hold,-0.27804756506434464
clock__skew__worst_setup,0.28472444652327544
timing__hold__ws,0.29477821018498646
timing__setup__ws,-5.467924934266469
timing__hold__tns,0.0
timing__setup__tns,-705.4916495127952
timing__hold__wns,0
timing__setup__wns,-5.467924934266469
timing__hold_vio__count,0
timing__hold_r2r__ws,0.294778
timing__hold_r2r_vio__count,0
timing__setup_vio__count,1208
timing__setup_r2r__ws,-5.467925
timing__setup_r2r_vio__count,1149
design__die__bbox,0.0 0.0 711.2 325.36
design__core__bbox,3.36 3.92 707.84 321.44
design__io,45
design__die__area,231396
design__core__area,223686
design__instance__count__stdcell,5190
design__instance__area__stdcell,118530
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.529893
design__instance__utilization__stdcell,0.529893
design__rows,81
design__rows:GF018hv5v_mcu_sc7,81
design__sites,101898
design__sites:GF018hv5v_mcu_sc7,101898
design__instance__count__class:tie_cell,14
design__instance__area__class:tie_cell,122.931
design__instance__count__class:buffer,1
design__instance__area__class:buffer,17.5616
design__instance__count__class:inverter,130
design__instance__area__class:inverter,1220.53
design__instance__count__class:sequential_cell,675
design__instance__area__class:sequential_cell,44725
design__instance__count__class:multi_input_combinational_cell,1925
design__instance__area__class:multi_input_combinational_cell,44257.4
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,162
design__instance__area__class:endcap_cell,711.245
design__instance__count__class:tap_cell,1454
design__instance__area__class:tap_cell,6383.64
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,731.019
design__instance__displacement__mean,0.1405
design__instance__displacement__max,22.96
route__wirelength__estimated,139671
design__violations,0
design__instance__count__class:timing_repair_buffer,751
design__instance__area__class:timing_repair_buffer,17197.2
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,66
design__instance__area__class:clock_buffer,3714.28
design__instance__count__class:clock_inverter,12
design__instance__area__class:clock_inverter,180.006
design__instance__count__setup_buffer,2
design__instance__count__hold_buffer,0
flow__warnings__count:RSZ-0062,1
global_route__vias,25850
global_route__wirelength,234864
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,3562
route__net__special,2
route__drc_errors__iter:0,713
route__wirelength__iter:0,154452
route__drc_errors__iter:1,104
route__wirelength__iter:1,153125
route__drc_errors__iter:2,68
route__wirelength__iter:2,153031
route__drc_errors__iter:3,0
route__wirelength__iter:3,152922
route__drc_errors,0
route__wirelength,152922
route__vias,22220
route__vias__singlecut,22220
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,14
design__critical_disconnected_pin__count,0
route__wirelength__max,1004.48
design__instance__count__class:fill_cell,5113
design__instance__area__class:fill_cell,105157
timing__unannotated_net__count__corner:nom_tt_025C_3v30,45
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:nom_ss_125C_3v00,45
