Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,1839
design__instance__area,51967
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,0
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,0
design__max_cap_violation__count__corner:nom_tt_025C_3v30,0
power__internal__total,0.0019734238740056753
power__switching__total,0.0008785438840277493
power__leakage__total,7.25254025724098E-8
power__total,0.00285204011015594
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.26034217185608977
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.26047251204286703
timing__hold__ws__corner:nom_tt_025C_3v30,1.2418585400411382
timing__setup__ws__corner:nom_tt_025C_3v30,2.88278120645497
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,1.241858
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,14.853276
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,10
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,0
design__max_cap_violation__count__corner:nom_ss_125C_3v00,1
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.26822320124158466
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.2683539855175843
timing__hold__ws__corner:nom_ss_125C_3v00,2.7642360294249078
timing__setup__ws__corner:nom_ss_125C_3v00,-6.1029352188177475
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-13.024280689257559
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-6.1029352188177475
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,2.764236
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,9
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,0.842347
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,0
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,0
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,1
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.2569388941001526
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.257070011443069
timing__hold__ws__corner:nom_ff_n40C_3v60,0.6085033205106272
timing__setup__ws__corner:nom_ff_n40C_3v60,6.696117627688697
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.608503
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,16.993587
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,10
design__max_fanout_violation__count,0
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.25605077116648584
clock__skew__worst_setup,0.2561685103215772
timing__hold__ws,0.603902001054934
timing__setup__ws,-6.399860378348475
timing__hold__tns,0.0
timing__setup__tns,-16.750290517618186
timing__hold__wns,0
timing__setup__wns,-6.399860378348475
timing__hold_vio__count,0
timing__hold_r2r__ws,0.603902
timing__hold_r2r_vio__count,0
timing__setup_vio__count,30
timing__setup_r2r__ws,0.637060
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 346.64 160.72
design__core__bbox,3.36 3.92 343.28 156.8
design__io,45
design__die__area,55712
design__core__area,51967
design__instance__count__stdcell,804
design__instance__area__stdcell,12602.6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.242513
design__instance__utilization__stdcell,0.242513
design__rows,39
design__rows:GF018hv5v_mcu_sc7,39
design__sites,23673
design__sites:GF018hv5v_mcu_sc7,23673
design__instance__count__class:tie_cell,22
design__instance__area__class:tie_cell,193.178
design__instance__count__class:buffer,4
design__instance__area__class:buffer,74.6368
design__instance__count__class:inverter,21
design__instance__area__class:inverter,210.739
design__instance__count__class:sequential_cell,40
design__instance__area__class:sequential_cell,2985.47
design__instance__count__class:multi_input_combinational_cell,241
design__instance__area__class:multi_input_combinational_cell,5209.21
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,78
design__instance__area__class:endcap_cell,342.451
design__instance__count__class:tap_cell,348
design__instance__area__class:tap_cell,1527.86
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,238.385
design__instance__displacement__mean,0.296
design__instance__displacement__max,17.92
route__wirelength__estimated,10175.7
design__violations,0
design__instance__count__class:timing_repair_buffer,41
design__instance__area__class:timing_repair_buffer,1071.26
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,9
design__instance__area__class:clock_buffer,987.84
design__instance__count__setup_buffer,3
design__instance__count__hold_buffer,0
flow__warnings__count:RSZ-0062,1
global_route__vias,2630
global_route__wirelength,18135
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,397
route__net__special,2
route__drc_errors__iter:0,84
route__wirelength__iter:0,10539
route__drc_errors__iter:1,19
route__wirelength__iter:1,10444
route__drc_errors__iter:2,5
route__wirelength__iter:2,10402
route__drc_errors__iter:3,0
route__wirelength__iter:3,10404
route__drc_errors,0
route__wirelength,10404
route__vias,2253
route__vias__singlecut,2253
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,207.86
design__instance__count__class:fill_cell,1035
design__instance__area__class:fill_cell,39364.3
timing__unannotated_net__count__corner:nom_tt_025C_3v30,9
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:nom_ss_125C_3v00,9
timing__unannotated_net_filtered__count__corner:nom_ss_125C_3v00,0
