Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,321
design__inferred_latch__count,0
design__instance__count,20645
design__instance__area,339442
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,540
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,72
design__max_cap_violation__count__corner:nom_tt_025C_3v30,18
power__internal__total,0.009651961736381054
power__switching__total,0.003624566365033388
power__leakage__total,0.0000010430617294332478
power__total,0.013277571648359299
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.4249100913613655
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.44046320615321144
timing__hold__ws__corner:nom_tt_025C_3v30,0.956891482024545
timing__setup__ws__corner:nom_tt_025C_3v30,15.025083824616287
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.956891
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,25.604773
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,1917
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,72
design__max_cap_violation__count__corner:nom_ss_125C_3v00,18
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.5686291598531352
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.6022436053649974
timing__hold__ws__corner:nom_ss_125C_3v00,2.1965727636305137
timing__setup__ws__corner:nom_ss_125C_3v00,-9.225854119577019
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-1102.6823215519053
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-9.225854119577019
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,2.196573
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,270
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,2.267164
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,0
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,108
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,72
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,18
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.36086420983926304
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.3674333996617594
timing__hold__ws__corner:nom_ff_n40C_3v60,0.42873772412489164
timing__setup__ws__corner:nom_ff_n40C_3v60,22.843688476295462
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.428738
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,35.595135
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,2259
design__max_fanout_violation__count,72
design__max_cap_violation__count,28
clock__skew__worst_hold,-0.34513623491609324
clock__skew__worst_setup,0.350801925215597
timing__hold__ws,0.42533022752134153
timing__setup__ws,-11.156050621286374
timing__hold__tns,0.0
timing__setup__tns,-1486.847778538034
timing__hold__wns,0
timing__setup__wns,-11.156050621286374
timing__hold_vio__count,0
timing__hold_r2r__ws,0.425330
timing__hold_r2r_vio__count,0
timing__setup_vio__count,784
timing__setup_r2r__ws,-0.336133
timing__setup_r2r_vio__count,2
design__die__bbox,0.0 0.0 1075.76 325.36
design__core__bbox,3.36 3.92 1072.4 321.44
design__io,45
design__die__area,350009
design__core__area,339442
design__instance__count__stdcell,10606
design__instance__area__stdcell,235328
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.693279
design__instance__utilization__stdcell,0.693279
design__rows,81
design__rows:GF018hv5v_mcu_sc7,81
design__sites,154629
design__sites:GF018hv5v_mcu_sc7,154629
design__instance__count__class:tie_cell,12
design__instance__area__class:tie_cell,105.37
design__instance__count__class:buffer,9
design__instance__area__class:buffer,158.054
design__instance__count__class:inverter,672
design__instance__area__class:inverter,5975.33
design__instance__count__class:sequential_cell,1444
design__instance__area__class:sequential_cell,92040.3
design__instance__count__class:multi_input_combinational_cell,4614
design__instance__area__class:multi_input_combinational_cell,89540
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,162
design__instance__area__class:endcap_cell,711.245
design__instance__count__class:tap_cell,2245
design__instance__area__class:tap_cell,9856.45
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
flow__warnings__count:GRT-0281,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,75.9775
design__instance__displacement__mean,0.007
design__instance__displacement__max,9.52
route__wirelength__estimated,383012
design__violations,0
design__instance__count__class:timing_repair_buffer,1285
design__instance__area__class:timing_repair_buffer,30811.8
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,124
design__instance__area__class:clock_buffer,5747.03
design__instance__count__class:clock_inverter,16
design__instance__area__class:clock_inverter,280.986
design__instance__count__setup_buffer,1
design__instance__count__hold_buffer,0
global_route__vias,73
global_route__wirelength,684028
flow__warnings__count:GRT-0115,1
flow__warnings__count:GRT-0273,1
flow__warnings__count:GRT-0704,1
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,6
design__instance__count__class:antenna_cell,23
design__instance__area__class:antenna_cell,100.979
route__net,8136
route__net__special,2
route__drc_errors__iter:0,217
route__wirelength__iter:0,443225
route__drc_errors__iter:1,31
route__wirelength__iter:1,443109
route__drc_errors__iter:2,27
route__wirelength__iter:2,443127
route__drc_errors__iter:3,2
route__wirelength__iter:3,443117
route__drc_errors__iter:4,2
route__wirelength__iter:4,443117
route__drc_errors__iter:5,0
route__wirelength__iter:5,443139
route__drc_errors__iter:6,6
route__wirelength__iter:6,443586
route__drc_errors__iter:7,0
route__wirelength__iter:7,443551
route__drc_errors,0
route__wirelength,443139
